
============================================================
Translating to: Simplified Chinese (zh)
============================================================
Total unique strings: 320,731
Already translated:   6,400
Pending:              314,331
Will translate:       314,331
  Consensus tier:    125,298 strings (dual-engine + verification)
  Single-pass tier:  189,033 strings (fast, 1 engine)
Total batches: 5496 (2363 single@80, 3133 consensus@40)
Concurrency: 4

Phase 1: Single-pass tier (2363 batches)...
  [8.9%] Batch 490/5496 | 45,593 done | 100.0% high-conf | 0 verified | 7 err | 4055s elapsed | ~41431s ETA
  [9.1%] Batch 500/5496 | 46,393 done | 100.0% high-conf | 0 verified | 7 err | 4149s elapsed | ~41459s ETA
  [9.3%] Batch 510/5496 | 47,192 done | 100.0% high-conf | 0 verified | 8 err | 4240s elapsed | ~41454s ETA
  [9.5%] Batch 520/5496 | 47,992 done | 100.0% high-conf | 0 verified | 8 err | 4332s elapsed | ~41452s ETA
  [9.6%] Batch 530/5496 | 48,792 done | 100.0% high-conf | 0 verified | 8 err | 4458s elapsed | ~41775s ETA
  [9.8%] Batch 540/5496 | 49,592 done | 100.0% high-conf | 0 verified | 8 err | 4531s elapsed | ~41586s ETA
  [10.0%] Batch 550/5496 | 50,392 done | 100.0% high-conf | 0 verified | 8 err | 4604s elapsed | ~41400s ETA
  [10.2%] Batch 560/5496 | 51,192 done | 100.0% high-conf | 0 verified | 8 err | 4675s elapsed | ~41209s ETA
  [10.4%] Batch 570/5496 | 51,992 done | 100.0% high-conf | 0 verified | 8 err | 4744s elapsed | ~41000s ETA
  [10.6%] Batch 580/5496 | 52,792 done | 100.0% high-conf | 0 verified | 8 err | 4808s elapsed | ~40754s ETA
  [10.7%] Batch 590/5496 | 53,592 done | 100.0% high-conf | 0 verified | 8 err | 4889s elapsed | ~40651s ETA
  [10.9%] Batch 600/5496 | 54,392 done | 100.0% high-conf | 0 verified | 8 err | 4960s elapsed | ~40470s ETA
  [11.1%] Batch 610/5496 | 55,192 done | 100.0% high-conf | 0 verified | 8 err | 5035s elapsed | ~40331s ETA
  [11.3%] Batch 620/5496 | 55,992 done | 100.0% high-conf | 0 verified | 8 err | 5122s elapsed | ~40282s ETA
  [11.5%] Batch 630/5496 | 56,792 done | 100.0% high-conf | 0 verified | 8 err | 5208s elapsed | ~40226s ETA
  [11.6%] Batch 640/5496 | 57,592 done | 100.0% high-conf | 0 verified | 8 err | 5295s elapsed | ~40175s ETA
  [11.8%] Batch 650/5496 | 58,392 done | 100.0% high-conf | 0 verified | 8 err | 5378s elapsed | ~40096s ETA
  [12.0%] Batch 660/5496 | 59,192 done | 100.0% high-conf | 0 verified | 8 err | 5454s elapsed | ~39962s ETA
  [12.2%] Batch 670/5496 | 59,992 done | 100.0% high-conf | 0 verified | 8 err | 5525s elapsed | ~39799s ETA
  [12.4%] Batch 680/5496 | 60,792 done | 100.0% high-conf | 0 verified | 8 err | 5606s elapsed | ~39700s ETA
  [12.6%] Batch 690/5496 | 61,558 done | 100.0% high-conf | 0 verified | 42 err | 5664s elapsed | ~39449s ETA
  [12.7%] Batch 700/5496 | 62,357 done | 100.0% high-conf | 0 verified | 43 err | 5721s elapsed | ~39195s ETA
  [12.9%] Batch 710/5496 | 63,157 done | 100.0% high-conf | 0 verified | 43 err | 5770s elapsed | ~38892s ETA
  [13.1%] Batch 720/5496 | 63,957 done | 100.0% high-conf | 0 verified | 43 err | 5858s elapsed | ~38861s ETA
  [13.3%] Batch 730/5496 | 64,757 done | 100.0% high-conf | 0 verified | 43 err | 5931s elapsed | ~38723s ETA
  [13.5%] Batch 740/5496 | 65,557 done | 100.0% high-conf | 0 verified | 43 err | 6002s elapsed | ~38577s ETA
  [13.6%] Batch 750/5496 | 66,357 done | 100.0% high-conf | 0 verified | 43 err | 6046s elapsed | ~38257s ETA
  [13.8%] Batch 760/5496 | 67,157 done | 100.0% high-conf | 0 verified | 43 err | 6088s elapsed | ~37935s ETA
  [14.0%] Batch 770/5496 | 67,957 done | 100.0% high-conf | 0 verified | 43 err | 6126s elapsed | ~37602s ETA
  [14.2%] Batch 780/5496 | 68,757 done | 100.0% high-conf | 0 verified | 43 err | 6168s elapsed | ~37292s ETA
  [14.4%] Batch 790/5496 | 69,557 done | 100.0% high-conf | 0 verified | 43 err | 6216s elapsed | ~37029s ETA
  [14.6%] Batch 800/5496 | 70,357 done | 100.0% high-conf | 0 verified | 43 err | 6277s elapsed | ~36846s ETA
  [14.7%] Batch 810/5496 | 71,157 done | 100.0% high-conf | 0 verified | 43 err | 6318s elapsed | ~36549s ETA
  [14.9%] Batch 820/5496 | 71,957 done | 100.0% high-conf | 0 verified | 43 err | 6372s elapsed | ~36335s ETA
  [15.1%] Batch 830/5496 | 72,757 done | 100.0% high-conf | 0 verified | 43 err | 6424s elapsed | ~36113s ETA
  [15.3%] Batch 840/5496 | 73,557 done | 100.0% high-conf | 0 verified | 43 err | 6463s elapsed | ~35824s ETA
  [15.5%] Batch 850/5496 | 74,357 done | 100.0% high-conf | 0 verified | 43 err | 6504s elapsed | ~35552s ETA
  [15.6%] Batch 860/5496 | 75,157 done | 100.0% high-conf | 0 verified | 43 err | 6550s elapsed | ~35307s ETA
  [15.8%] Batch 870/5496 | 75,957 done | 100.0% high-conf | 0 verified | 43 err | 6604s elapsed | ~35113s ETA
  [16.0%] Batch 880/5496 | 76,757 done | 100.0% high-conf | 0 verified | 43 err | 6643s elapsed | ~34846s ETA
  [16.2%] Batch 890/5496 | 77,557 done | 100.0% high-conf | 0 verified | 43 err | 6702s elapsed | ~34683s ETA
  [16.4%] Batch 900/5496 | 78,357 done | 100.0% high-conf | 0 verified | 43 err | 6775s elapsed | ~34596s ETA
  [16.6%] Batch 910/5496 | 79,157 done | 100.0% high-conf | 0 verified | 43 err | 6841s elapsed | ~34474s ETA
  [16.7%] Batch 920/5496 | 79,957 done | 100.0% high-conf | 0 verified | 43 err | 6903s elapsed | ~34335s ETA
  [16.9%] Batch 930/5496 | 80,757 done | 100.0% high-conf | 0 verified | 43 err | 6965s elapsed | ~34197s ETA
  [17.1%] Batch 940/5496 | 81,557 done | 100.0% high-conf | 0 verified | 43 err | 7046s elapsed | ~34148s ETA
  [17.3%] Batch 950/5496 | 82,357 done | 100.0% high-conf | 0 verified | 43 err | 7111s elapsed | ~34030s ETA
  [17.5%] Batch 960/5496 | 83,157 done | 100.0% high-conf | 0 verified | 43 err | 7171s elapsed | ~33881s ETA
  [17.6%] Batch 970/5496 | 83,957 done | 100.0% high-conf | 0 verified | 43 err | 7234s elapsed | ~33753s ETA
  [17.8%] Batch 980/5496 | 84,757 done | 100.0% high-conf | 0 verified | 43 err | 7306s elapsed | ~33665s ETA
  [18.0%] Batch 990/5496 | 85,557 done | 100.0% high-conf | 0 verified | 43 err | 7385s elapsed | ~33613s ETA
  [18.2%] Batch 1000/5496 | 86,357 done | 100.0% high-conf | 0 verified | 43 err | 7454s elapsed | ~33514s ETA
  [18.4%] Batch 1010/5496 | 87,157 done | 100.0% high-conf | 0 verified | 43 err | 7528s elapsed | ~33436s ETA
  [18.6%] Batch 1020/5496 | 87,957 done | 100.0% high-conf | 0 verified | 43 err | 7603s elapsed | ~33364s ETA
  [18.7%] Batch 1030/5496 | 88,757 done | 100.0% high-conf | 0 verified | 43 err | 7688s elapsed | ~33335s ETA
  [18.9%] Batch 1040/5496 | 89,557 done | 100.0% high-conf | 0 verified | 43 err | 7762s elapsed | ~33258s ETA
  [19.1%] Batch 1050/5496 | 90,357 done | 100.0% high-conf | 0 verified | 43 err | 7828s elapsed | ~33147s ETA
  [19.3%] Batch 1060/5496 | 91,157 done | 100.0% high-conf | 0 verified | 43 err | 7894s elapsed | ~33036s ETA
  [19.5%] Batch 1070/5496 | 91,957 done | 100.0% high-conf | 0 verified | 43 err | 7960s elapsed | ~32924s ETA
  [19.7%] Batch 1080/5496 | 92,757 done | 100.0% high-conf | 0 verified | 43 err | 8033s elapsed | ~32846s ETA
